"Time","GSR","BP","VAS"
660,19.4819,4.4201,-0.4466
661,19.2152,-4.4437,-0.4493
662,19.0714,5.0813,-0.4488
663,19.2172,-2.9115,-0.4485
664,19.7015,4.1599,-0.4492
665,19.5934,5.712,-0.4477
666,19.3686,-6.2719,-0.4456
667,19.8732,6.1454,-0.4444
668,20.0502,-7.3637,-0.4463
669,19.8805,3.2649,-0.4493
670,20.1691,-5.1013,-0.4453
671,20.5458,1.1418,-0.4461
672,21.0637,1.5374,-0.4474
673,20.6204,-6.7369,-0.3224
674,20.8434,0.691,-0.0242
675,21.6245,-1.1988,-0.0235
676,21.0131,-2.7265,-0.0179
677,20.3904,-3.2543,-0.021
678,20.6024,-0.5618,-0.026
679,20.9903,1.1895,-0.0257
680,20.9963,1.293,-0.024
681,21.3488,-4.6269,-0.0249
682,21.0103,2.7666,-0.0227
683,20.2343,0.3697,-0.0239
684,19.9093,4.061,-0.0224
685,19.7859,3.6176,-0.0218
686,20.0922,-1.8486,-0.0236
687,21.3325,0.7068,-0.0219
688,20.8795,1.2721,-0.0215
689,20.0917,-3.4568,-0.0247
690,20.1563,2.1933,-0.0233
691,20.5207,-0.0365,-0.0234
692,20.1519,4.1369,-0.0237
693,20.4577,4.3976,-0.0227
694,20.5617,-3.0598,-0.0229
695,20.3079,-0.8214,-0.024
696,20.6124,-2.323,-0.0224
697,20.635,4.6146,-0.0242
698,20.7868,-2.2318,-0.0215
699,20.3766,-3.394,-0.0231
700,19.9292,5.1812,-0.0245
701,19.6944,3.191,-0.022
702,19.6112,-2.8005,-0.0218
703,19.6781,5.1365,-0.0218
704,19.5978,-5.2446,-0.0237
705,19.7115,7.4611,-0.0234
706,19.7265,-5.6193,-0.0229
707,19.539,6.2316,-0.0227
708,19.3664,-6.2624,-0.0244
709,19.468,5.5345,-0.024
710,20.1635,-4.6135,-0.0203
711,20.4945,4.0295,-0.0257
712,20.2967,-2.9968,-0.024
713,20.2865,3.1519,-0.0241
714,20.3102,-4.2892,-0.025
715,20.1591,3.1258,-0.0232
716,20.5118,2.4292,-0.0236
717,20.539,-8.6191,-0.0233
718,20.2099,1.5911,-0.0222
719,19.909,-3.1445,-0.025
720,19.6861,2.632,-0.0213
721,19.5903,3.4121,-0.0245
722,19.5588,-5.1413,-0.023
723,20.3772,3.383,-0.023
724,21.5504,0.8572,-0.0211
725,21.4452,-6.0813,-0.0196
726,20.7938,-3.1068,-0.0214
727,20.3404,2.7373,-0.0169
728,20.3413,-1.4852,-0.0205
729,20.3564,4.793,-0.0178
730,20.2797,-2.3258,-0.0234
731,20.0477,5.9047,-0.0224
732,19.8296,-3.9069,-0.0234
733,20.1016,5.1307,-0.0232
734,20.0362,-0.9237,-0.0219
735,19.8017,0.5935,-0.0219
736,19.6517,4.7617,-0.0205
737,19.7566,-6.1369,-0.0216
738,20.6967,4.1594,-0.0197
739,20.7151,-6.2238,-0.0219
740,20.8607,3.7131,-0.0194
741,21.3174,-4.6104,-0.0215
742,20.8987,3.0188,-0.0225
743,20.6898,-3.9498,-0.0219
744,20.3577,4.3704,-0.0228
745,20.4096,-2.973,-0.0213
746,20.5976,5.1995,-0.0217
747,20.3534,-1.2896,-0.0231
748,20.0954,2.3134,-0.0205
749,20.2889,5.315,-0.0228
750,21.1829,-7.3094,-0.0222
751,21.0266,3.6272,-0.0236
752,20.857,-4.7969,-0.0217
753,21.2908,0.8999,-0.0221
754,21.242,-1.6898,-0.0212
755,21.4788,-0.6196,-0.0226
756,21.8113,2.4351,-0.0227
757,21.5588,-4.4233,-0.0239
758,21.2259,4.98,-0.024
759,20.9567,0.5408,-0.022
760,21.2428,-0.7642,-0.0227
761,20.964,2.1518,-0.0223
762,20.7135,-3.7639,-0.0243
763,21.1554,0.5314,-0.0234
764,21.5611,0.6482,-0.0234
765,21.3785,-4.9884,-0.0225
